memory.max_usage_in_bytes,input_bam,guide|ref_hist,chromInfo,guide_gff,input_bam_extension,guide|ref_hist_extension,chromInfo_extension,guide_gff_extension,dbkey,rna_strandness,use_guide
5563424768,5781150006,0,0,0,bam,nan,nan,nan,triMan1,nan,no
3741802496,4006731526,0,0,0,bam,nan,nan,nan,?,nan,no
4046749696,3013443895,238695801,0,0,bam,gtf,nan,nan,hg38,nan,yes
430964736,155358524,63265093,0,0,bam,gtf,nan,nan,?,--rf,yes
408088576,220835144,3523941,0,0,bam,gtf,nan,nan,?,--rf,yes
435687424,155358524,63265093,0,0,bam,gtf,nan,nan,?,--rf,yes
422113280,220835144,63265093,0,0,bam,gtf,nan,nan,?,--rf,yes
396296192,176873477,63265093,0,0,bam,gtf,nan,nan,?,--rf,yes
501858304,284781488,63265093,0,0,bam,gtf,nan,nan,?,--rf,yes
575143936,296690807,63265093,0,0,bam,gtf,nan,nan,?,--rf,yes
563294208,287116545,63265093,0,0,bam,gtf,nan,nan,?,--rf,yes
550912000,338788061,63265093,0,0,bam,gtf,nan,nan,?,--rf,yes
537952256,335031621,63265093,0,0,bam,gtf,nan,nan,?,--rf,yes
309850112,85720254,63265093,0,0,bam,gtf,nan,nan,?,--rf,yes
391446528,183922630,63265093,0,0,bam,gtf,nan,nan,?,--rf,yes
368914432,156748232,63265093,0,0,bam,gtf,nan,nan,?,--rf,yes
406073344,197816157,63265093,0,0,bam,gtf,nan,nan,?,--rf,yes
391720960,171855287,63265093,0,0,bam,gtf,nan,nan,?,--rf,yes
418107392,200256842,63265093,0,0,bam,gtf,nan,nan,?,--rf,yes
389070848,177024250,63265093,0,0,bam,gtf,nan,nan,?,--rf,yes
507883520,284557744,63265093,0,0,bam,gtf,nan,nan,?,--rf,yes
471646208,201949712,63265093,0,0,bam,gtf,nan,nan,?,--rf,yes
399835136,191006380,63265093,0,0,bam,gtf,nan,nan,?,--rf,yes
304332800,75736279,63265093,0,0,bam,gtf,nan,nan,?,--rf,yes
457310208,244679340,63265093,0,0,bam,gtf,nan,nan,?,--rf,yes
523571200,303146971,63265093,0,0,bam,gtf,nan,nan,?,--rf,yes
599293952,314371872,63265093,0,0,bam,gtf,nan,nan,?,--rf,yes
655753216,439859285,63265093,0,0,bam,gtf,nan,nan,?,--rf,yes
645931008,415698399,63265093,0,0,bam,gtf,nan,nan,?,--rf,yes
403091456,99656445,63265093,0,0,bam,gtf,nan,nan,?,--rf,yes
396509184,178465072,63265093,0,0,bam,gtf,nan,nan,?,--rf,yes
454569984,176279931,63265093,0,0,bam,gtf,nan,nan,?,--rf,yes
410800128,206966588,63265093,0,0,bam,gtf,nan,nan,?,--rf,yes
422965248,210543670,63265093,0,0,bam,gtf,nan,nan,?,--rf,yes
468553728,257573008,63265093,0,0,bam,gtf,nan,nan,?,--rf,yes
